company_name,company_number,status,type,incorporated_date,address,description
FINTECH ALUMINIUM LTD,11779412,active,ltd,2019-01-21,"36 The Crescent, Consett, Durham, United Kingdom, DH8 5JE",11779412 - Incorporated on 21 January 2019
FINTECH ANALYTICS LIMITED,10724622,active,ltd,2017-04-13,"35 Stanhope Road, Croydon, Surrey, England, CR0 5NS",10724622 - Incorporated on 13 April 2017
FINTECH AND BUSINESS EDUCATION CENTRE LTD,16505258,active,ltd,2025-06-09,"First Floor Office, 3 Hornton Place, London, United Kingdom, W8 4LZ",16505258 - Incorporated on 9 June 2025
FINTECH & CHIPS LTD,14762252,active,ltd,2023-03-27,"20-22 Wenlock Road, London, England, N1 7GU",14762252 - Incorporated on 27 March 2023
FINTECH AND MEDIA GROWTH LTD,15736477,active,ltd,2024-05-23,"3rd Floor, 86-90 Paul Street, London, England, EC2A 4NE",15736477 - Incorporated on 23 May 2024
FINTECH & PAYMENTS CONSULTING LIMITED,13681829,dissolved,ltd,2021-10-15,"128 City Road, London, United Kingdom, EC1V 2NX",13681829 - Dissolved on 27 January 2026
FINTECH & SPORTS CONSULTING LTD,16514607,active,ltd,2025-06-12,"3rd Floor, 86-90 Paul Street, London, England, EC2A 4NE",16514607 - Incorporated on 12 June 2025
FINTECH APRM UK LTD,14498806,dissolved,ltd,2022-11-22,"54 Hindes Road, Harrow, England, HA1 1SL",14498806 - Dissolved on 3 June 2025
FINTECH ASSET MANAGEMENT LIMITED,16600222,active,ltd,2025-07-22,"87 Hardinge Road, London, England, NW10 3PN",16600222 - Incorporated on 22 July 2025
FINTECH BLUEPRINT LTD,13879017,active,ltd,2022-01-28,"14 Underwood Row, London, United Kingdom, N1 7LQ",13879017 - Incorporated on 28 January 2022
FINTECH BOOSTUP LTD,15797833,active,ltd,2024-06-23,"17 Kilburn Place, Didcot, England, OX11 9SH",15797833 - Incorporated on 23 June 2024
FINTECH BPO LTD,14064493,active,ltd,2022-04-24,"Barking Enterprise Centre C/O Fintech Bookkeeping, Bec,50 Cambridge Road, Barking, England, IG11 8FG",14064493 - Incorporated on 24 April 2022
FINTECH BRANDS LTD,16818076,active,ltd,2025-10-29,"3rd Floor, 86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",16818076 - Incorporated on 29 October 2025
FINTECH BROKERS LTD,16341190,active,ltd,2025-03-25,"Highview Barnet Road, Arkley, Barnet, Hertfordshire, England, EN5 3HB",16341190 - Incorporated on 25 March 2025
FINTECH B2B MARKETING LIMITED,12615740,active,ltd,2020-05-21,"52 Anthony Court Larden Road, London, United Kingdom, W3 7DY",12615740 - Incorporated on 21 May 2020
FINTECH BUSINESS ASSOCIATES LIMITED,09048027,active,ltd,2014-05-20,"15 Oldborough Road, Wembley, Middlesex, HA0 3PP",09048027 - Incorporated on 20 May 2014
FINTECH BUSINESS CONSULTANCY LTD,16896045,active,ltd,2025-12-08,"10 Cawley Field, Leicester, England, LE7 7HW",16896045 - Incorporated on 8 December 2025
FINTECH BUSINESS SOFTWARE LTD,SC823257,active,ltd,2024-09-19,"162 Pentland Park, Loanhead, Scotland, EH20 9PD",SC823257 - Incorporated on 19 September 2024
FINTECH BUSINESS SOLUTIONS LIMITED,10101963,active,ltd,2016-04-04,"2 Netherfield Court, Roch Valley Way, Rochdale, Lancashire, United Kingdom, OL11 4BZ",10101963 - Incorporated on 4 April 2016
FINTECH CALLING LTD,11722339,active,ltd,2018-12-11,"10 Market Street, Altrincham, Cheshire, England, WA14 2QB",11722339 - Incorporated on 11 December 2018
FINTECH CAP LTD,15151711,active,ltd,2023-09-20,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",15151711 - Incorporated on 20 September 2023
FINTECH CAPITAL LIMITED,11042915,dissolved,ltd,2017-11-01,"4385, 11042915 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",11042915 - Dissolved on 17 March 2026
FINTECH CAPITAL ALLIANCE LIMITED,13060890,active,ltd,2020-12-03,"4385, 13060890 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",13060890 - Incorporated on 3 December 2020
FINTECH CAPITAL CONSULTING LTD,11833615,active,ltd,2019-02-19,"321 - 323 High Road, Office 15, C/O Z.S.N Accountancy Services, Romford, Essex, England, RM6 6AX",11833615 - Incorporated on 19 February 2019
FINTECH CIRCLE LTD,09141483,active,ltd,2014-07-22,"167-169 Great Portland Street, London, England, W1W 5PF",09141483 - Incorporated on 22 July 2014
FINTECH COLLECTIVE UK LTD.,14769036,active,ltd,2023-03-30,"9th Floor 107 Cheapside, London, United Kingdom, EC2V 6DN",14769036 - Incorporated on 30 March 2023
FINTECH COMMERCIAL SERVICES LIMITED,14728157,active,ltd,2023-03-14,"Suite 106 Viney Court, Viney Street, Taunton, Somerset, England, TA1 3FB",14728157 - Incorporated on 14 March 2023
FINTECH COMPLIANCE LIMITED,10065367,active,ltd,2016-03-16,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",10065367 - Incorporated on 16 March 2016
FINTECH CONNEX LTD,12885589,active,ltd,2020-09-17,"International House, 6 South Molton Street, London, United Kingdom, W1K 5QF",12885589 - Incorporated on 17 September 2020
FINTECH CONSTRUCTION LTD,13876983,active,ltd,2022-01-27,"8 Avon Road, Keynsham, Bristol, England, BS31 1LJ",13876983 - Incorporated on 27 January 2022
FINTECH CONSULTANCY LIMITED,07204864,active,ltd,2010-03-26,"158 Green Lane, London, England, SE9 2AR",07204864 - Incorporated on 26 March 2010
FINTECH CONSULTANTS LTD,10535685,active,ltd,2016-12-21,"Flat 25 Vermilion 30, Barking Road, London, England, E16 1EQ",10535685 - Incorporated on 21 December 2016
FINTECH CONSULTING LIMITED,15998725,active,ltd,2024-10-04,"128 City Road, London, United Kingdom, EC1V 2NX",15998725 - Incorporated on 4 October 2024
FINTECH CONTENT MARKETING LTD,15204565,active,ltd,2023-10-11,"51 Newland Park Drive, York, England, YO10 3HR",15204565 - Incorporated on 11 October 2023
FINTECH CORE SYSTEMS LTD,13813960,active,ltd,2021-12-22,"31 Home Close, Renhold, Bedford, Bedfordshire, United Kingdom, MK41 0LB",13813960 - Incorporated on 22 December 2021
FINTECH CORPORATE SERVICES LTD,14376690,dissolved,ltd,2022-09-26,"309a High Road, Loughton, Essex, United Kingdom, IG10 1AH",14376690 - Dissolved on 30 September 2025
FINTECH CURRENCY LIMITED,14689233,active,ltd,2023-02-26,"Unit 2022 Bryant House 61-63 Wellington Road North, Stockport, England, SK4 1HS",14689233 - Incorporated on 26 February 2023
FINTECH DATA LIMITED,11480815,dissolved,ltd,2018-07-24,"9 Caxton House, Broad Street, Cambourne, Cambridge, United Kingdom, CB23 6JN",11480815 - Dissolved on 28 October 2025
FINTECH DESIGN LIMITED,09910949,active,ltd,2015-12-10,"Apollo House Hallam Way, Whitehills Business Park, Blackpool, England, FY4 5FS",09910949 - Incorporated on 10 December 2015
FINTECH DEVELOPMENT SERVICES LTD,16816688,active,ltd,2025-10-28,"Flat 238 Glassworks Court Grenan Square, Greenford, England, UB6 0GS",16816688 - Incorporated on 28 October 2025
FINTECH DIGITAL LIMITED,12825420,active,ltd,2020-08-19,"Suite 1 The First Floor, The Auction House, Sevenoaks, United Kingdom, TN13 1HJ",12825420 - Incorporated on 19 August 2020
FINTECH DIGITAL CONSULTING LIMITED,13186259,active,ltd,2021-02-08,"1-2 Charterhouse Mews, London, England, EC1M 6BB",13186259 - Incorporated on 8 February 2021
FINTECH DIGITAL PLATFORMS LIMITED,11501684,active,ltd,2018-08-06,"138 Hassell Street, Newcastle Under Lyme, England, ST5 1BB",11501684 - Incorporated on 6 August 2018
FINTECH DIGITAL SOLUTIONS LIMITED,13183254,active,ltd,2021-02-05,"1-2 Charterhouse Mews, London, United Kingdom, EC1M 6BB",13183254 - Incorporated on 5 February 2021
FINTECH DIGITAL TRANSFORMATION LIMITED,13695256,active,ltd,2021-10-21,"65 High Royds Drive, Menston, Ilkley, West Yorkshire, United Kingdom, LS29 6QY",13695256 - Incorporated on 21 October 2021
FINTECH DYNAMICS LIMITED,16835478,active,ltd,2025-11-05,"499 Mapperley Plains, Nottingham, England, NG3 5RW",16835478 - Incorporated on 5 November 2025
FINTECH ECOSYSTEM LTD,12046394,active,ltd,2019-06-12,"International House, 12 Constance Street, London, England, E16 2DQ",12046394 - Incorporated on 12 June 2019
FINTECH ENTERPRISES LTD,09426474,active,ltd,2015-02-06,"22 West Way, Pinner, Middlesex, England, HA5 3NX",09426474 - Incorporated on 6 February 2015
FINTECH EVOLUTION CONSULTANCY LIMITED,15603362,dissolved,ltd,2024-03-29,"28 Lynton Road, Flat 12, London, United Kingdom, N8 8SL",15603362 - Dissolved on 2 September 2025
FINTECH EXPRESS LIMITED,SC689002,active,ltd,2021-02-12,"111 West George Street, Glasgow, Lanarkshire, Scotland, G2 1QX",SC689002 - Incorporated on 12 February 2021
FINTECH FACTORY SERVICES LTD,14290403,active,ltd,2022-08-11,"15 Butlers & Colonial Wharf, London, England, SE1 2PX",14290403 - Incorporated on 11 August 2022
FINTECH FARM LTD,13278476,active,ltd,2021-03-19,"Rwk Goodman Llp, 69 Carter Lane, London, England, EC4V 5EQ",13278476 - Incorporated on 19 March 2021
FINTECH FC LTD,15716612,dissolved,ltd,2024-05-13,"4385, 15716612 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",15716612 - Dissolved on 28 October 2025
FINTECH FIENDS LIMITED,12299886,active,ltd,2019-11-05,"124 City Road, London, England, EC1V 2NX",12299886 - Incorporated on 5 November 2019
FINTECH FINANCIAL CONSULTING LIMITED,08878453,active,ltd,2014-02-06,"Unit E2 Providence Park, Dalton Lane, Keighley, West Yorkshire, England, BD21 4HW",08878453 - Incorporated on 6 February 2014
FINTECH FINANCIAL PARTNERS LIMITED,11536918,active,ltd,2018-08-25,"6 St. Davids Close, West Wickham, Kent, England, BR4 0QZ",11536918 - Incorporated on 25 August 2018
FINTECH FINANCIALS LTD,15580719,active,ltd,2024-03-20,"8 Browfield Way, Royton, Oldham, England, OL2 6DE",15580719 - Incorporated on 20 March 2024
FINTECH FOR INTERNATIONAL DEVELOPMENT LIMITED,13226565,dissolved,ltd,2021-02-25,"Parker Andrews Ltd, 5th Floor, The Union Building 51-59 Rose Lane, Norwich, NR1 1BY",13226565 - Dissolved on 9 September 2025
FINTECH FRINGE LTD,08494495,active,ltd,2013-04-18,"68 Noko 3 - 6 Banister Road, London, England, W10 4AR",08494495 - Incorporated on 18 April 2013
FINTECH FRONTIERS LTD,11965426,dissolved,ltd,2019-04-26,"155 Minories Street, London, United Kingdom, EC3N 1AD",11965426 - Dissolved on 2 September 2025
FINTECH FUSION LTD.,08376656,active,ltd,2013-01-28,"316 Copperfield, Chigwell, Essex, IG7 5JZ",08376656 - Incorporated on 28 January 2013
FINTECH FUSION CONSULTANCY LIMITED,15756187,active,ltd,2024-06-02,"21 York Road, Watford, Watford, London, United Kingdom, WD18 0BE",15756187 - Incorporated on 2 June 2024
FINTECH FUTURES LTD,SC772610,active,ltd,2023-06-14,"11 Addison Drive Addison Drive, Douglas, Lanark, Scotland, ML11 0PZ",SC772610 - Incorporated on 14 June 2023
FINTECH FUTURE STUDIO LTD,16926984,active,ltd,2025-12-22,"First Floor Office, 3 Hornton Place, London, United Kingdom, W8 4LZ",16926984 - Incorporated on 22 December 2025
FINTECH GLOBAL LIMITED,10340034,active,ltd,2016-08-22,"Church House, 207 Camberwell New Road, London, England, SE5 0TJ",10340034 - Incorporated on 22 August 2016
FINTECH GLOBAL CAPITAL LTD,14359952,active,ltd,2022-09-15,"C/O Gkp Viglen House, Alperton Lane, Wembley, England, HA0 1HD",14359952 - Incorporated on 15 September 2022
FINTECH GLOBAL CONSULTANCY LTD,06755650,active,ltd,2008-11-21,"26 High Street, Rickmansworth, Herts, England, WD3 1ER",06755650 - Incorporated on 21 November 2008
FINTECH GLOBAL CONSULTING LTD,14574777,active,ltd,2023-01-06,"2 Lakeview Stables Lower St. Clere, Kemsing, Sevenoaks, Kent, England, TN15 6NL",14574777 - Incorporated on 6 January 2023
FINTECH GLOBAL NETWORK LTD,12649658,active,ltd,2020-06-05,"Lawrence House, 37 Normanton Road, Derby, England, DE1 2GJ",12649658 - Incorporated on 5 June 2020
FINTECH GLOBAL SOFTWARE LTD,16493076,active,ltd,2025-06-03,"2nd Floor College House, 17 King Edwards Road,, Ruislip,, London,, United Kingdom, HA4 7AE",16493076 - Incorporated on 3 June 2025
FINTECH GROUP INTERNATIONAL LTD,14652521,active,ltd,2023-02-09,"Suite B1, First Floor, Apg House, 4 Thames Road, London, Essex, England, IG11 0HZ",14652521 - Incorporated on 9 February 2023
FINTECH GROWTH FUND LP,LP023527,active,limited-partnership,2024-01-18,"6-7 Queen Street, 3rd Floor, London, England, EC4N 1SP",LP023527 - Registered on 18 January 2024
FINTECH GROWTH PARTNER LTD,15471185,dissolved,ltd,2024-02-07,"31 Castlewood Road, Southwater, Horsham, England, RH13 9US",15471185 - Dissolved on 15 July 2025
FINTECH GROWTH SERVICES LTD,15810571,active,ltd,2024-07-01,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",15810571 - Incorporated on 1 July 2024
FINTECH HARBOR CONSULTING LTD,11980929,active,ltd,2019-05-07,"256-260 Old Street, London, England, EC1V 9DD",11980929 - Incorporated on 7 May 2019
FINTECH HC LTD,13848775,dissolved,ltd,2022-01-14,"11 Laburnum Grove, Burstead Close, Brighton, East Sussex, England, BN1 7HX",13848775 - Dissolved on 20 May 2025
FINTECH HI.RE LIMITED,16592280,active,ltd,2025-07-18,"167-169 Great Portland Street, 5th Floor, London, England, W1W 5PF",16592280 - Incorporated on 18 July 2025
FINTECH HOLDINGS LIMITED,11607253,active,ltd,2018-10-05,"Floor 5 - Tower Point, North Road, Brighton, United Kingdom, BN1 1YR",11607253 - Incorporated on 5 October 2018
FINTECH HORIZONS LTD,11232446,active,ltd,2018-03-05,"Devonshire House, 60 Goswell Road, London, United Kingdom, EC1M 7AD",11232446 - Incorporated on 5 March 2018
FINTECH HUB LIMITED,11125989,active,ltd,2017-12-28,"1192 Stratford Road, Hall Green, Birmingham, United Kingdom, B28 8AB",11125989 - Incorporated on 28 December 2017
FINTECH INNER CIRCLE LIMITED,11882371,dissolved,ltd,2019-03-14,"Lyes Barn Lyes Farm Offices, Cuckfield Road, Burgess Hill, England, RH15 8RG",11882371 - Dissolved on 20 May 2025
FINTECH INNOVATION GROUP LTD,16909729,active,ltd,2025-12-15,"2 Oystercatcher Close, Sprowston, Norwich, England, NR7 8LP",16909729 - Incorporated on 15 December 2025
FINTECH INNOVATION PROGRAM LTD,08825168,active,ltd,2013-12-23,"4th . Floor Silverstream House, 45 Fitzroy Street, London, England, W1T 6EB",08825168 - Incorporated on 23 December 2013
